date,ticker,asof,proba_up_next_day,signal,data_source
2026-02-14,AAPL,2026-02-13,0.4242,DOWN,stooq
2026-02-14,MSFT,2026-02-13,0.7804,UP,stooq
2026-02-14,TSLA,2026-02-13,0.4255,DOWN,stooq
