date,ticker,asof,proba_up_next_day,signal,data_source
2026-03-28,AAPL,2026-03-27,0.5017,UP,stooq
2026-03-28,MSFT,2026-03-27,0.8045,UP,stooq
2026-03-28,TSLA,2026-03-27,0.384,DOWN,stooq
