date,ticker,asof,proba_up_next_day,signal,data_source
2025-12-23,AAPL,2025-12-22,0.8454,UP,stooq
2025-12-23,MSFT,2025-12-22,0.4232,DOWN,stooq
2025-12-23,TSLA,2025-12-22,0.663,UP,stooq
