date,ticker,asof,proba_up_next_day,signal,data_source
2026-01-06,AAPL,2026-01-05,0.8723,UP,stooq
2026-01-06,MSFT,2026-01-05,0.475,DOWN,stooq
2026-01-06,TSLA,2026-01-05,0.4238,DOWN,stooq
