date,ticker,asof,proba_up_next_day,signal,data_source
2026-03-27,AAPL,2026-03-26,0.4805,DOWN,stooq
2026-03-27,MSFT,2026-03-26,0.8128,UP,stooq
2026-03-27,TSLA,2026-03-26,0.3844,DOWN,stooq
