date,ticker,asof,proba_up_next_day,signal,data_source
2026-01-14,AAPL,2026-01-13,0.8597,UP,stooq
2026-01-14,MSFT,2026-01-13,0.5103,UP,stooq
2026-01-14,TSLA,2026-01-13,0.427,DOWN,stooq
