date,ticker,asof,proba_up_next_day,signal,data_source
2025-12-25,AAPL,2025-12-24,0.3754,DOWN,stooq
2025-12-25,MSFT,2025-12-24,0.3676,DOWN,stooq
2025-12-25,TSLA,2025-12-24,0.5384,UP,stooq
