date,ticker,asof,proba_up_next_day,signal,data_source
2026-03-26,AAPL,2026-03-25,0.405,DOWN,stooq
2026-03-26,MSFT,2026-03-25,0.8013,UP,stooq
2026-03-26,TSLA,2026-03-25,0.4106,DOWN,stooq
