date,ticker,asof,proba_up_next_day,signal,data_source
2026-01-09,AAPL,2026-01-08,0.8564,UP,stooq
2026-01-09,MSFT,2026-01-08,0.4336,DOWN,stooq
2026-01-09,TSLA,2026-01-08,0.3564,DOWN,stooq
